,Category,Text,Classification
151265,Xenofobia,Aquí grabándole videos al dany.,
151266,Capacitismo,"@MarKelMaL 🦌 habia escuchado a algunos ponys hablar de ""la gran gala del galope"" habia escuchado de ella antes y queria venir a ver como es además de poder ver a otros ponys aunque para ello tuve que escaar de casa -dijo algo apenada-",
151267,Sexismo,As vezes eu esqueço o quão vadia milionária o Harry é https://t.co/mULKh7BBZK,
151268,Assedio,@tiradodobau @hcistyk eu amava essa laranja filha da puta chata e esses super heróis que tomavam raspadinha e ficavam drogados,
151269,Homofobia,@1KINGBR se ficar em first nas 3 classificatórias eu viro veadão,
151270,Assedio,Não tem uma banca de jornal em rio das ostras pra eu comprar uma raspadinha kkkkkk,
151271,Homofobia,@tenovelove @madumotinha eu vi eu ia comentar e tu apagou viada,
151272,Capacitismo,@LulaOficial Vc é sujo corrupto burro analfabeto penetra repete igualmente pronunciamentos vazios mal caráter bandido comunista vagabundo quer implantar a pobreza extrema no Brasil e vender nossas terras junto com a Amazônia e ficar ostentando luxo. Vc mal representa quem o apoia.,
151273,Homofobia,i literally send Veada every tiktok i see so if i see something fucked up so will she. we taking that trip together 😂😂,
151274,Aparencia,@FernandoHoliday você faz terapia feioso? ou é só o Lula que alugou um triplex com dinheiro vivo na sua cabeça,
151275,Capacitismo,Me siento débil necesito un año en Mexico 😜,
151276,Xenofobia,"Andaba en una partida de among ya con unos gringos y eso matan a alguien y uno me pregunta que dónde estaba yo y yo bien autista no sabía escribir en inglés puse nomas ""machines"" y todos se quedaron así https://t.co/lJrA7hepeH",
151277,Calunia,calada corna mansa,
151278,Homofobia,o zuho gritando LEE JAEYOON junto com as fantasys pra ele tirar a blusa meu deus como eh viado..,
151279,Assedio,ta bom renato agora vai ler meu artigo sobre o 11 de setembro que eu fui muito boazuda escrevendo ele https://t.co/YEpVUneXFZ,
151280,Sexismo,@77_frota Olha aí o cara que fez filme sentando no traveco,
151281,Capacitismo,levaro a minha menina anao,
151282,Capacitismo,@Hermesticio @Santi_MBarajas Inculto. Los invernaderos hacen que exista un microclima en la zona entre 1 y 3 grados menos. Además de capturar CO2.,
151283,Homofobia,Mds to tentando dormir mas tem uns viado gritando MT na sacada do lado,
151284,Xenofobia,Poder do lampião A: troque o 3 roceiro por qualquer um da sede ou fa baia B: Vc esta imuni ao resta um #AFazenda14,
151285,Capacitismo,Así los encontré tirados. Así está ahora cada uno con buenas familias y el negrito que era el más débil.. con nosotros es un progreso enorme 💗 https://t.co/1XUFCyh2vT,
151286,Politica,@Flaviamaynarte https://t.co/blqBaTeJ8Q,
151287,Assedio,Wacha tarada que le dice eso a joe una bronca me quedo jajaaj,
151288,Capacitismo,Perdido en la inmensidad del mar... Buscando sólo paz...  Todo es reflexión... Un cambio para que la vida sea mejor ... El ayer es el envión para enfrentar lo que viene.... #FotoBang https://t.co/6SgfI6K5cT,
151289,Capacitismo,@senadorhumberto Eu tô querendo saber quando aquele corrupto do drácula vai ser preso!,
151290,Capacitismo,que papo é esse de mostra o koo,
151291,Sexismo,E vagabundo pedindo 600/700/800 em jogo do Fla no Maracanã kkkk coé… vagabundo tava perdendo a linha surreal papo reto https://t.co/tCGHRNf5HN,
151292,Capacitismo,@GugaGayer Essei dividio nunca teve  vergonha na carainventa mentira e ele mesmo acredita nelaé um doente mental completamente retardado.,
151293,Calunia,@nndres_ q me haga cornuda,
151294,Etnia,@dbr_mendes KKKKKKKKKKKKK EEEE PRETO,
151295,Xenofobia,Porque os “artistinhas” acham que podem viver de DINHEIRO PÚBLICO?!? Esse dinheiro vem do suor do povo! Os funcionários públicos suam p/serem aprovados em concurso e ganham um valor ínfimo se comparados com o dinheiro q a baianada gastavam. Agora acham q podem eleger um criminoso,
151296,Sexismo,@77_frota Alexandre boulos kkkk! O cara que come traveco querendo tirar os imóveis privados comece você doando seu salário pra ajudar os mais pobres e para de safadeza seu lixo chifrudo,
151297,Sexismo,Isabely sapatão eu vou te bater quando vc chegar,
151298,Calunia,@VGGUKMlN Vou,
151299,Capacitismo,cómo amo las películas navideñasdioos parezco una estúpida del orto pero las amo,
151300,Capacitismo,Quem narra tem aids e é  frouxo .  DOUBLE BLACK BELT NOCAUTEADO NA ZONA AIDETICA DO QUEBRAMAIDS / VOZ DE FEIO COM AIDS.  PAULO NAO E NEM FAIXA AZUL.  CALA A BOCA FEIA FAVELADA LESBICAIDETICA INCOMIVEL https://t.co/mNjXP8kKsm,
151301,Homofobia,@Queria_Coxinha Pare de ser boiola,
151302,Capacitismo,@SofiaDSrpa Te amo 😋❤,
151303,Sexismo,Eu já conheço as pistoleira e cansei de mulher rampeira A única que não me cansa é a tal de Maria tonteira Por ela eu como vidro subo a nado cachoeira Se ela vier prensada apertada é mais MANEEEIRAAA!!,
151304,Capacitismo,🔴Reunión de trabajo del poderoso equipo de de la Lista 3A en Vallemi.Abrazo republicano al Conc.Dptal.Santiago OjedaJorge López Cand.Pte Secc Wilson Barrios Cand.a Conc.Dptal.Mónica Romero Pte.Secc de San Lázaro y a todos los correligionarios. En Vallemí arrasamos #ATM 🇳🇱🚩 https://t.co/7HWN6kzh7H,
151305,Capacitismo,estoy rota destrozada triste devastada desconsolada depresiva llorona melancólica sola afligida apenada entristecida afectada lastimada angustiada destrozada triste devastada desconsolada depresiva dolida melancólica sola afligida apenada abatido decaída apagada demacrada https://t.co/LZdMlSBfBD,
151306,Homofobia,@Augusto35218000 mo viadao kkkkkk,
151307,Xenofobia,comi um rodízio de japa do caralhoooooo hoje,
151308,Homofobia,@moraisjr_2010 @BlogdoNoblat Janones é um gostoso. Deixa de recalque viada,
151309,Sexismo,@DoentesPFutebol 2x4,
151310,Calunia,O atual presidente está fugindo do trabalho e ele ainda abre essa boca fedida pra “mandar” o próximo trabalhar?? Afff … não amola !! https://t.co/TvlSLsxKg5,
151311,Sexismo,i hope so 😂 https://t.co/8NniwfLsvv,
151312,Capacitismo,@priscillavileda @ManuelaDavila @JanjaLula @priscillavileda vc é uma debiloide e para mim a sua opinião não me interessa. #vácagarnomato,
151313,Capacitismo,Eu odeio pessoas que dizem faz o que eu digo e não faças o que eu faço mas also eu sou uma dessas pessoas 🥲,
151314,Homofobia,@miottohehe acontece viado,
151315,Assedio,sai  do  fake  testuda https://t.co/TKIyQ7oG41,
151316,Sexismo,holy shit they got incel running the bird app https://t.co/BpA6FqHJnL,
151317,Aparencia,ei boy extensão de cílios é um negocinho feio viu,
151318,Calunia,@romaomarianaa @brendasafra a faixa do Bolsonaro já deve tá encardida e fedorenta msm,
151319,Capacitismo,@comentaobjetivo @leiatheinvestor Hã? Puta comentário debilóide AHAHAHAHA,
151320,Homofobia,@bluelukii Só sexualidade,
151321,Assedio,Espero que esta tarada no deje los gatitos abandonados con el calor que hace no pueden estar tirados en el patio sin agua y comida.,
151322,Assedio,@LCAbrahao @melhoresdomundo O Aguaman só mexe com piranha.,
151323,Calunia,@CaioFreduzeski @beatrizrbarros O meliante só queria tomar uma cervejinha coitado...🤣🤣🤣🤣🤣,
151324,Xenofobia,Entretenimento gratuito,
151325,Sexismo,que odio dessa mocreia vagabunda nao da nem pra desejar que seja engolida por um tigre poruqe e provavel de acontecer,
151326,Xenofobia,@RikMalvadeza baiano ñ slk,
151327,Sexismo,@_juiya aff bloqueia essa mocrea 😠😠,
151328,Politica,@JornalOGlobo ESSE VELHO E LOUCO CHAMA O AGRONEGÓCIO DE FACISTA E DEPOIS PEDE RESPEITO 😂😂😂😂 Boraaa comer picanha e beber cerveja 🍺😂😂😂😂,
151329,Calunia,se wanessa bebesse 😭😭😭 mas graças a Deus q não bebe 🙌🏿🙌🏿🙌🏿 https://t.co/68BCz3MQsT,
151330,Sexismo,e dai ngm liga baranga mocreia,
151331,Assedio,@cuzuda_anonima NAO.,
151332,Capacitismo,@andrefelipe_sa @MariluPamc @andreporci Necrosado/esclerosado sem chances de recuperação ! É disso pra pior é a gente que tenha paciência p aguentar essa galera extremista 🤦🏻‍♂️,
151333,Capacitismo,"Eu postei um story despretensioso de quando tava na piscina hoje no insta e tava me sentindo um mondrongo de feio mas aí vários ""Amei"" vários likes muitas DMs é oficial amigas aparentemente eu sou Certified Gostosa™ https://t.co/hLXSOemV88",
151334,Calunia,@Terra__Brasilis Bolsonaro CORNO!! https://t.co/rFhfWy8tuu,
151335,Sexismo,@Dhomar_ @Steh_Papaiano @profpaulamarisa Tá doidinho pela hora do pau né biba?!,
151336,Sexismo,Se essa cadelona tivesse divulgado taria com uns 500 mi dealer single ia hitar tanto https://t.co/tIPnXTAJhm,
151337,Calunia,@hxisaraujo si fudeu corna,
151338,Xenofobia,@ttpsholmes @baianolol1 (6meses sem abrir o lol),
151339,Capacitismo,Nn tenham a luara como amg 😘😘😘,
151340,Capacitismo,I unfollowed a lot of people after the Ana Mardoll thing and I feel vindicated by seeing how so many of these accounts lost their shit over Jorts-gate and Giving-Chile-to-Neighbors-gate I feel vindicated.,
151341,Calunia,Hello ilibado MP vai ficar por isso mesmo a montanha de mentiras públicas da meliante?!?!? 🍕🤮🍕🤮🍕🤮 #BozoNaCadeia 👿👿👿 #BozoEsuaQuadrilha 👿👿👿  https://t.co/U3Jh5bNDsC,
151342,Assedio,a @isawq__ assume ficante a cada uma semana,
151343,Capacitismo,@offjap @fpsflawless KKKKKKKKKKKKKKKKKKK PARA DE SER MONGOL CARA,
151344,Assedio,amo novinha rabuda de shortinho ou calça apertada se alguém tiver foto assim me manda   retribuo bem 🔥  #PINTOAWARDS  #PINTOAWARD  #PINTOAWARD  #PINTOSAWARDS  #XOTAAWARDS  #XOTASAWARDS  #XOTAWARDS #BUNDASAWARDS #PINTOSAWARDS https://t.co/zDucN3EPJn,
151345,Politica,"No sabe que de su ignorancia política nace la prostitutael menor abandonado y el peor de todos los bandidos que es el político corrupto mequetrefe y lacayo de las empresas nacionales y multinacionales."" ||  🗣Bertolt Brecht  🅰️rte #MarceloRubénsBalboaArt   #BertoltBrecht https://t.co/KBCyLSfQIX",
151346,Homofobia,to com depressao depois dessa fic boiola gay viada tchola nunca mais nunca mais serei feliz https://t.co/2qeWqnvyyO,
151347,Capacitismo,@leonorsequeiraa Sou maneta,
151348,Capacitismo,@Sergio66640156 Hay que ser magnanimo y desear buenos dias tambien a los españoles de mal.,
151349,Xenofobia,Prêmio PAGO em nosso site!  O prêmio do(a) 22ª Rodada do(a) Campeonato Paraguaio 1ª Cl. - 2022 acabou de ser pago. Os usuários vencedores já receberam seus Mabits! Vá até https://t.co/tU60VOnu68 e confira.,
151350,Homofobia,@t2minie ai q lindooo pera migo já vou seguir,
151351,Sexismo,@RODX_dj @caiobafelip Esse cara é um personagem da história brasileira fico indignado como ele teve tao pouca atenção após explanar a mocreia petista ja era pra ter livros sobre a vida dele.,
151352,Aparencia,@mid90ss_ @dudxperes invejosa feia boba,
151353,Assedio,@_Xablau9 Pensou naquele trem né mkkmkkk,
151354,Capacitismo,obrigada deus por ter colocado a ana na minha vida passei algumas horas conversando com ela e ja resolvi uma parte considerável do que eu quero na minha vida que alivio pqp,
151355,Capacitismo,Tentando diminuir o ritmo mas é foda.  Trabalhando em off essa semana mas depois n tem jeito vou ter q sair  aleijada mesmo com as assistentes me arrastando 😩😫,
151356,Assedio,@bchartsnet eita como é boazuda,
151357,Etnia,Impossível jogar cod warzone sendo ruim,
151358,Homofobia,off q eu fiz essa viadagem com alguém https://t.co/G4Qs7F5n55,
151359,Capacitismo,@ThiagoResiste @alexandre Falou o débil ment4lóide do Twitter!,
151360,Assedio,@andrefernm O raspadinha indignado 😌,
151361,Etnia,@Fxaq27_studio ยาวๆ 🔥🔥🔥🔥,
151362,Assedio,@licebritos Mds que safada,
151363,Sexismo,@CamillyZinke te odeio pra sempre,
151364,Capacitismo,@dislepathy que se siente vivir mi sueño estúpida fea SARNOZA,
151365,Sexismo,@77_frota Falou o comedor de traveco.,
151366,Sexismo,@QuelonioShinobi Meu amigo mora numa pensao em q tenha uma moca gospel.Ouve hino alto la mas sempre ta levando um chad ou vagabundo p leita-la.  Meu amigo fala q a msm é uma p*ta por fazer tudo q uma modrrnete faz mas dar uma de santinha de igreja,
151367,Politica,@folha Qual faixa? À da Papuda? Kkkk eita folha que não tem jeito mesmo vivi de lamber as botas do maior ladrão corrupto e corruptor que este Brasil já viu.,
151368,Assedio,bunduda,
151369,Etnia,#16Nov Buenos días Venezuela Nuestra Guardia Nacional Bolivariana seguimos comprometidos con nuestro Pueblo Base Fronteriza La Mulata https://t.co/Sn7equGT7N,
151370,Capacitismo,Doida p william chegar em casa e eu grudar nele mt ruim ele ter q sair pra trabalhar e eu ficar sozinha 🥺,
151371,Sexismo,A trepadeira da Goiabeira já apresentou provas sobre o crime que ela descreveu nos mínimos detalhes?,
151372,Capacitismo,@MartnezGuzmn1 Ha de ver sido un ganso lo que se trago😂.. Lo trae atorado en la garganta porque el ganso habla por el🤣🤣🤣🤣.... Tiene voz de tuberculoso🤣😂😂,
151373,Homofobia,O veadao de respeito Xerneas https://t.co/CIfnDjt2Ot https://t.co/Hg8By75Vbg,
151374,Capacitismo,@luaa030 parece uma mongoloide mandando isso,
151375,Capacitismo,não aguento mais só achar música poesia e texto sobre amor ou desilusão no amor não aguento mais existem outros sentimentos galera,
151376,Sexismo,Canalha kakakakakakkaka te amo Léo trepadeira peço perdão por todos esses anos desejando a sua saida https://t.co/6EJ7Ecnk9S,
151377,Capacitismo,Hoje sinto-me deficiente 😭 https://t.co/8SWVqhoKYg,
151378,Sexismo,Podré quemar el arroz —  pero nunca a mi amigo que se metió con un traveco. 😅 #dressshirts #dressuurpaard #blogkulinarny #styles2blaze #blogdebeleza #dressdewasa #dressblues #fashionbracelets #likeforlikes #cat #f #followforfollow #love #style #crossfit https://t.co/9JFOWvhEFO,
151379,Capacitismo,Timothee chalamet lleva haciendo de Timothee chalamet (chico tuberculoso pero guapo) desde q empezó a actuar,
151380,Calunia,TU ERE UNA ESTRELLA MAMI YO SOY TU FANATICO,
151381,Calunia,@JornalDaCidadeO O custo da liberdade e contra um ladrão que devia estar preso,
151382,Capacitismo,Pra mimnem depois. Se vc e fanático por futebol ok. Mas  por favornão assista nas emissoras que não dão uma notícia sequer sobre as manifestações ou nos chamam de golpistas. https://t.co/KFaoHWmQmZ,
151383,Assedio,@D3KU_RE TA LINDO,
151384,Sexismo,"AH TEM UM PROBLEMA AQ NO MERCADO NAO TENHA  ""AH PRECISO DE VOCE"" NAO PRECISE ESTE FIM DE SEMANA NÃO TENHO CELULAR NAO TENHO NÚMERO NÃO TENHO NOME NÃO EXISTO",
151385,Calunia,@CentralEleicoes @o_antagonista Waldemar o malandro. Para de ser bobo.,
151386,Sexismo,não sei de onde esse povo tirou que eu tô sumida pq tô namorando que namorando oque filha da puta eu tô é trabalhando igual uma vagabunda isso sim!!! 😑,
151387,Politica,daniel nazista https://t.co/FiLwpSXKUz,
151388,Xenofobia,@Liliopsidas @BrucknerFan só beber com água e comida pronto. eu só vou beber se a minha preferida beber tirando isto só vinho e licor q eu beberia.,
151389,Sexismo,Tudo piolhenta cachorra cadela 🤣,
151390,Capacitismo,@GugaNoblat Se enxerga quem vai querer perder tempo com um analfabeto funcional .,
151391,Xenofobia,@1summer2many @mulgensoy @nocontextfooty Agora vejo que uma criança Brasileira sabe muito mais a regra do futebol que qualquer gringo adulto,
151392,Sexismo,@ChiaraCavinato @ORockBravo Relaxou amiga isso aí eu li como um PETTRUS MOCREA,
151393,Capacitismo,@luizmuller Debiloide e patriota é sinônimo,
151394,Aparencia,@Ronaldo_aff Feiosa é aquele hancook,
151395,Capacitismo,@lance_botafogo Que tome na olhota.,
151396,Homofobia,@CadeladobabyJ_ Nn KAKSKSKSKKAK,
151397,Homofobia,@ThiagoResiste Tentando explicar o inexplicável hahaha não força veado,
151398,Capacitismo,Explicar a los petristas la decisión de MALUMA cuando ellos eligieron a un guerrillero de presidente es simplemente  ESTUPIDO,
151399,Sexismo,Sei q é um desperdício do dinheiro q meus pais investiram em mim esses anos todos mas se tudo der errado dps da school eu viro prostituta,
151400,Sexismo,4 - (3 gatos mimi Pandora e channel) é uma cachorra chamada Amy https://t.co/KX0lm4IRhp,
151401,Capacitismo,@Carleta_perneta 😳😳😳 ih,
151402,Calunia,@jsfb2021 @tiburones_net Y EL JUEGO LO GANAMOS A LLORAR PAL VALLE INDIO MARGINAL,
151403,Aparencia,bonde das feiosa que so anda com feiosa,
151404,Calunia,@Rarian17 Mais um fanático Miguel n falha um vai lavar os dentes e dormir pá 🤮,
151405,Sexismo,essa vagabunda aqui @anacastelo_b me odeia pura baranga desgraçada,
151406,Calunia,@AndreJanonesAdv Bem a sua cara de Pinóquio tu não passa de uma titica fedida rapá!!!,
151407,Etnia,@JorgeCa23981825 Não é ele q tem q prestar queixa não é você q tem q tomar vergonha na cara e parar de denigrir a imagem de quem n tem nada haver.,
151408,Homofobia,tô assim agora https://t.co/jRc4hZcf1j,
151409,Calunia,"Ex de Luciano Camargo detona ex-marido  de Simaria: ""Cornão"" | https://t.co/RP06k6E1YE #SimoneESimaria",
151410,Sexismo,perdi tudo com o puta rampeira hipócrita https://t.co/HqZ5yyUmZ8,
151411,Sexismo,@ONIKYNW chegou a arruaceira liberaram wifi no pavilhão da sua prisão?? não enche cadelona,
151412,Capacitismo,Desculpa sona mais eu tava mo puta com a situação ai no finalzinho quando vc falou que se fosse pra cirurgia com ele vc ia ser aleijada eu ri  me sinto horrível agora perdão e tomara que pege um profissional melhor ..mana beijos❤️ https://t.co/I5MSVhn1s8,
151413,Etnia,Coshita😍 https://t.co/zlb1FgaP3c,
151414,Assedio,@bulhoxs Mirella se achando a bocetuda e perdeu FEIO pro Matheus,
151415,Capacitismo,slk luana criança mo cara de debiloide,
151416,Sexismo,@Baleia_galactic @DiegoBR142 @iara_morbiducci Vergonha e eleger um ladrão que ficou bilionário com o dinheiro dos pobres e seus filhos e quer mais e imbecis como vc vai contribuir para ele e os amiguinhos nefastos dele!!,
151417,Etnia,Gostosão 🤩❤️ https://t.co/Tqan5YPO6c,
151418,Calunia,いつだって marginal,
151419,Homofobia,@foIha_sp @MarcelodeMarco2 @GugaNoblat Tem que parar de dar palco para esse baitola isso não vale o que o gato enterra,
151420,Politica,@gabrielboric Avanzamos a la muerte de hambre y a los paros te sacaremos perro comunista,
151421,Sexismo,Ai vai ter chuvaaaa,
151422,Assedio,@dudarebhahn @marinaborges07 Sai daí testuda,
151423,Aparencia,seu jorge deu a letra demais quando disse se fosse mulher feia tava tudo certo mulher bonita mexe com meu coração.......,
151424,Sexismo,@choquei Ri da cara delas tem um sabor delicioso cho. Eu faço muito isso e uso esse estático https://t.co/Yh5nTKiYYr,
151425,Assedio,Hoje tinha uma mulher na academia gemendo igual uma cachorra consegui segurar o riso mas tive vergonha alheia,
151426,Assedio,La rubia tarada,
151427,Xenofobia,@hange_Zzz Branquelo,
151428,Assedio,@saokuuh @wanessaw0lf @gessicakayane Ela convidando aqueles gay esquisito chaveiro da Anitta,
151429,Assedio,@vi_helenaa ta desculpada rabudona,
151430,Sexismo,@japonesaseiuda https://t.co/AvtDhll93o,
151431,Homofobia,essa bicha ta d bait nao eh possível https://t.co/SmdVTBWSQ8,
151432,Capacitismo,@pensandoaltorc Meu sonho é o silas mas.. vão dizer que o comunismo vai fechar as igrejas etc. Mas.. o veio havan seria mais  estratégicos. Dameres só é doida o resto já tiverem tipos da mesma laia no PT.,
151433,Sexismo,@kuboysu VOU TE BLOQUEAR SUA MOCREIA,
151434,Etnia,@DionisioSelma As filhas dos outros pode denigrir a vontade né esses bolsobosta são uns merda mesmo viu. #ForaBolsonaroPedófilo,
151435,Homofobia,Fds nn vou pra escola vou voltar a dormi,
151436,Sexismo,Aparte pobre che los padres lit le obligaron a trabajar de eso o sino era d prostituta(sino me equivoco) o algo así https://t.co/n7m6DAtM5F,
151437,Xenofobia,@MatheusG_Japa Vou te contar kkkkkk,
151438,Religião,quando eu sofria por um romance que existia na minha cabeça minha vida era muito mais fácil aiai,
151439,Sexismo,andrew tate hat eigentlich ein incel kinn,
151440,Sexismo,queria ir em um nutr¡ci0nista mas eu sou tao chata pra comer q fico com vergonhakkkk,
151441,Sexismo,@JJKPH0RlA Valha meu jss Cristo isso é oq baleia azul?,
151442,Politica,A PROPAGANDA ANTI COMUNISTA ZZZ,
151443,Calunia,@NachoRgz @elonmusk Ahí va de nuevo... cornudo Pto,
151444,Capacitismo,@jeantargaryen E a idiota da Rhaenyra e o debilóide do Aegon II destruíram tudo isso em 2 anos. https://t.co/PaQahRQxQd,
151445,Capacitismo,te conozco maia yo sé que te gusta el estúpido marrano de tu ex miguel https://t.co/i44Cmueckv,
151446,Assedio,@luizadawd bunduda 🫶🏾,
151447,Sexismo,Sapatão é a pior raça existente mesmo véi como pode essa garota já tá na terceira namorada no período de um ano pqp,
151448,Capacitismo,Omg a Kara vai ganhar poder de se esticar no Planeta Lázaro https://t.co/sygrSVou77,
151449,Assedio,@AlencarmorenaS2 Que cu grande princesa. É muito difícil resistir a esse lindo cuzão.  Linda princesa rabudona.,
151450,Assedio,@scorpiongabe_ BOcetuda 🗣,
151451,Calunia,A @InstitutoACC NO lo quiero. Si felicito a los 3 ó 5 mil socios que apoyaron siempre a su club. Si tan FANTASMAáticos son algunos apoyen SIEMPRE y no aparezcan solo en las buenas. Hoy está de moda hacerse el fanático furiososepan que el verdadero hincha está siempre,
151452,Capacitismo,Sou mó zoiudo i a mandinha mó gatinha 😔 https://t.co/RlKS6oacLS,
151453,Etnia,pensando nos meus tempos de mr simpatia sem saudade alguma,
151454,Calunia,@antoniocostapm @LulaOficial @govpt Se bajula ladrão boa pessoa não é,
151455,Homofobia,viado oq eu fiz,
151456,Capacitismo,@vanessatluna Me siento como débil,
151457,Calunia,LULA LADRÃO  SEU LUGAR É  NA PRISÃO! Nem tente subir a rampa. Não terá um dia sequer de paz maldito! https://t.co/p0RCKvF5ri,
151458,Capacitismo,Usuário Discussão:Televisãodesativdade: Oi:   ← Versão anterior Edição de 12h03min de 4 de maio de 2015 ... http://t.co/FWniukxxfd,
151459,Religião,meu coração fala: “vc já sofreu dms vai quebrar a cara dnv” e o zé fala: “tá apaixonada né fia ainda bem q é macumbeiro” 🤡,
151460,Capacitismo,chega essa hora no sábado e a vontade de meter o louco e não ir p plantão é grande,
151461,Capacitismo,Tremendo Avivamento!!! Alilililililililililililililililililililiiiiiiiiiiiiiiiiiiiiiiiii Uma aleijada andou! Vamos celebrar o supremo poder do Sangue precioso de Jesus Cristo!🎊 Celebremos a bondade do Senhor! Jesus está voltando!!! @APortaDoCeu https://t.co/hnnvDvkvaU,
151462,Calunia,Mira como m hizo asustar el cornudo este. https://t.co/H94IU1NY9u,
151463,Capacitismo,@ricmagx @kudejudas1 @sunnavabitch Quer mesmo ir por aí? Quer tentar desmentir o que a Pfizer diz é? Se a Pfizer diz que nunca foram feitos testes não vale apena continuar a bater no ceguinho. Quem foi enganado que tenha a humildade de reconhecer que foi enganado.,
151464,Capacitismo,Matheus sempre me salva quando to em um lugar doida p ir p casa deixa forte kk,
151465,Assedio,@LPozziz @ousafadenha hmm vc no meu colo com esse rabão hmmm,
151466,Xenofobia,@brom_elisa Tudi bona gente!!!farabuto carcamano imbechile,
151467,Xenofobia,3 pessoas visualizaram seu perfil agora https://t.co/RRdxaN7yK9,
151468,Calunia,cornuda fest https://t.co/98RQukOiAm,
151469,Xenofobia,not only white people literally all gringos think it’s a slur 😭😭 but yeah mostly the whites https://t.co/LnK7xDp8Zh,
151470,Capacitismo,Sharon Stone descubre que tiene un tumor no canceroso luego de un diagnóstico erróneo https://t.co/1GbEesl0lJ https://t.co/M87AAbzaew,
151471,Aparencia,Só feio,
151472,Calunia,Ai que saudade de ser babá de uma cachorra feia dentuça fedorenta com os olhos um de cada lado um olho vê o passado e o outro vê o futuro e que me odeia só me ama na hora de comer  Mas eu a amo mesmo assim ❤,
151473,Politica,@JulioFe58228298 @Direita_Network @YouTube Justica Nazista fascista maxista antidemocratica... bate neles Xandao!,
151474,Etnia,@o_cara_malefico @Laylayaab É crioulo (termo ofensivo pro EUA) meio que pra eles lá branco não pode falar isso só os negros,
151475,Homofobia,@misslexotan6mg2 caraio veada  brabo né 👹,
151476,Capacitismo,Tampoco pagaron un solo contrato...mono tuberculoso https://t.co/OOOEAaaDq3,
151477,Homofobia,"não consigo pensar nesses ""5 coisas sobre mim"" sem avacalhar kkkkkk. ""tive uma vida veada secreta (e talvez tenha pego o seu marido)"" kkkkkkkkkkkkk",
151478,Politica,"@miguelon_conce No voté por Boric (entre otras cosas por no titularse). Tampoco por el facista. Ud. es periodista si el cartón no se lo regalan entonces sabrá que tiene que mostrar pruebas de lo que dice (no se refugie en eso de que ""protege sus fuentes"") si no se desacredita. ¿Las tiene?",
151479,Homofobia,@Guizinhh_05 @euovitinn a viado acho a se ela n fosse tao babaca eu chamava agora,
151480,Sexismo,"@samone289 @smoothienos @CJBenton4 @sebyukr @ShowOGenius @JessicaCat_3 @upblissed You don’t even know what incel means an you just throw it around you are a femcel it’s obvious you hate men🤷🏾‍♂️ an ""speaking like a white boy"" that’s a racist type of corny 💀😂",
151481,Etnia,@faclubmalvadeza valeu jose o macaco 🤙🏽🤙🏽,
151482,Sexismo,@EstevamReboucas @AndreJanonesAdv @NeusaOrtlibas O decrépito q ocupou a cadeira da presidência por 4 anos achava q bastava se sentar e receber em razão da função todas as dádivas do firmamento. Usufruiu de tudo nadou de braçadas no poder. Na hora de devolver o trono agarra-se a ele como uma trepadeira e chora pelo poder.,
151483,Xenofobia,O repórter argentino fica sem graça e interrompe os caras.   Mas aí tu vai nos comentários desse tt e vê um monte de BR defendendo.  Sabe o que argentinos e BRs que defendem argentinos tem? TEM MAIS É QUE SE FODER https://t.co/D2cYfpxwFA,
151484,Calunia,@dramasophie @rodrigoadm68 @SilvaRomuald 😘 vai chorar com o perebento cornudo https://t.co/6caPHokGl7,
151485,Etnia,@GNB_tachira @GnbGaranteDePaz apoyando nuestros niños y niñas,
151486,Aparencia,atualização de acessos no meu perfil https://t.co/lO9wzi0qjG,
151487,Aparencia,em uma loja de roupas:  grifinória - “ai que perda de tempo”  sonserina - “tudo fica bem em mim nada fica bom em você feiozo”  corvinal - “eu posso usar isso aqui em muitos looks diferentes?”  lufa lufa - fica realmente fofo em todas as roupas que escolhe,
151488,Religião,EU SOU UM HEREGE ME DESCULPA @segredinhoJv,
151489,Capacitismo,@acexnes_ El tiempo se había parado para ella en el momento que Driant se fue de la sala. No podía pensar tampoco podía dirigir una mirada a la apenada joven de cabellos rubios ni a su esposo ni a su padrino.  Creía que ahí tendría un poco de paz pero ahí se encontraba sufriendo el &gt;,
151490,Calunia,@marciatiburi Bolsonaro contra a ladroeira a vista,
151491,Capacitismo,@henrx01 obv vc nao veio falar cmg hj e qnd eu morava em aru nao eramos tao proximos 😭,
151492,Capacitismo,Reparación maneta/tirador Tesla Model S 🥳 https://t.co/5qIRLwCRWJ,
151493,Sexismo,@TerraBrasilnot primeiro fake é no nome dessa mocreia.,
151494,Capacitismo,@desmentindobozo TCHAU CANCEROSO.,
151495,Etnia,Botou a  Bia 🗣🤣 https://t.co/Pe4E2pps87,
151496,Sexismo,@giquiis Fdc mocrea,
151497,Homofobia,@coffeshin que viadagem,
151498,Calunia,@httpveena Eita cornisse,
151499,Politica,@MoneyNftGame @toyey64 @HomofobicosV Por exemplo os historiadores podem explicar como uma ditadura facista nasce porque isso já aconteceu. Agora o sindicalismo vai pro campo do imaginário porque só temos provas de tentativas falhas. Pessoalmente acredito ser impossível porque seria nescessário praticamente+,
